BAND,PCL,Average low TxPower,Average in range TxPower,Average high TxPower,PASS Count,FAIL Count
DCS1800, 0, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 1, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 2, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 3, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 4, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 5, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 6, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 7, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 8, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 9, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 10, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 11, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 12, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 13, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 14, 0:0.##, 0:0.##, 0:0.##, 10226, 0
DCS1800, 15, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 5, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 6, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 7, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 8, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 9, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 10, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 11, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 12, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 13, 0:0.##, 0:0.##, 0:0.##, 10225, 1
GSM850, 14, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 15, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 16, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 17, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 18, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM850, 19, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 5, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 6, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 7, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 8, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 9, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 10, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 11, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 12, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 13, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 14, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 15, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 16, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 17, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 18, 0:0.##, 0:0.##, 0:0.##, 10226, 0
GSM900, 19, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 0, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 1, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 2, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 3, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 4, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 5, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 6, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 7, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 8, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 9, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 10, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 11, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 12, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 13, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 14, 0:0.##, 0:0.##, 0:0.##, 10226, 0
PCS1900, 15, 0:0.##, 0:0.##, 0:0.##, 10226, 0
