BAND,PCL,Average low TxPower,Average in range TxPower,Average high TxPower,PASS Count,FAIL Count
DCS1800, 0, 0, 29.53671, 0, 10226, 0
DCS1800, 1, 0, 27.52727, 0, 10226, 0
DCS1800, 2, 0, 26.01907, 0, 10226, 0
DCS1800, 3, 0, 24.01081, 0, 10226, 0
DCS1800, 4, 0, 22.00945, 0, 10226, 0
DCS1800, 5, 0, 19.99273, 0, 10226, 0
DCS1800, 6, 0, 17.99488, 0, 10226, 0
DCS1800, 7, 0, 15.99465, 0, 10226, 0
DCS1800, 8, 0, 13.99124, 0, 10226, 0
DCS1800, 9, 0, 11.98051, 0, 10226, 0
DCS1800, 10, 0, 9.97926, 0, 10226, 0
DCS1800, 11, 0, 7.983612, 0, 10226, 0
DCS1800, 12, 0, 6.184184, 0, 10226, 0
DCS1800, 13, 0, 4.087607, 0, 10226, 0
DCS1800, 14, 0, 2.491484, 0, 10226, 0
DCS1800, 15, 0, 0.2975073, 0, 10226, 0
GSM850, 5, 0, 32.55327, 0, 10226, 0
GSM850, 6, 0, 30.54531, 0, 10226, 0
GSM850, 7, 0, 29.15081, 0, 10226, 0
GSM850, 8, 0, 27.15083, 0, 10226, 0
GSM850, 9, 0, 25.15551, 0, 10226, 0
GSM850, 10, 0, 23.16118, 0, 10226, 0
GSM850, 11, 0, 21.14841, 0, 10226, 0
GSM850, 12, 0, 19.15433, 0, 10226, 0
GSM850, 13, 0, 17.15302, 0, 10225, 1
GSM850, 14, 0, 15.16011, 0, 10226, 0
GSM850, 15, 0, 13.15681, 0, 10226, 0
GSM850, 16, 0, 11.04045, 0, 10226, 0
GSM850, 17, 0, 9.04139, 0, 10226, 0
GSM850, 18, 0, 7.039158, 0, 10226, 0
GSM850, 19, 0, 5.136173, 0, 10226, 0
GSM900, 5, 0, 32.54324, 0, 10226, 0
GSM900, 6, 0, 30.54822, 0, 10226, 0
GSM900, 7, 0, 29.14454, 0, 10226, 0
GSM900, 8, 0, 27.14727, 0, 10226, 0
GSM900, 9, 0, 25.14338, 0, 10226, 0
GSM900, 10, 0, 23.17308, 0, 10226, 0
GSM900, 11, 0, 21.15315, 0, 10226, 0
GSM900, 12, 0, 19.14659, 0, 10226, 0
GSM900, 13, 0, 17.17417, 0, 10226, 0
GSM900, 14, 0, 15.15435, 0, 10226, 0
GSM900, 15, 0, 13.18039, 0, 10226, 0
GSM900, 16, 0, 11.08682, 0, 10226, 0
GSM900, 17, 0, 9.084962, 0, 10226, 0
GSM900, 18, 0, 7.093068, 0, 10226, 0
GSM900, 19, 0, 5.18383, 0, 10226, 0
PCS1900, 0, 0, 29.54747, 0, 10226, 0
PCS1900, 1, 0, 27.4344, 0, 10226, 0
PCS1900, 2, 0, 25.82644, 0, 10226, 0
PCS1900, 3, 0, 24.01739, 0, 10226, 0
PCS1900, 4, 0, 22.01548, 0, 10226, 0
PCS1900, 5, 0, 19.9965, 0, 10226, 0
PCS1900, 6, 0, 18.01008, 0, 10226, 0
PCS1900, 7, 0, 16.00716, 0, 10226, 0
PCS1900, 8, 0, 14.00163, 0, 10226, 0
PCS1900, 9, 0, 11.98824, 0, 10226, 0
PCS1900, 10, 0, 9.992888, 0, 10226, 0
PCS1900, 11, 0, 7.883593, 0, 10226, 0
PCS1900, 12, 0, 5.88585, 0, 10226, 0
PCS1900, 13, 0, 3.879012, 0, 10226, 0
PCS1900, 14, 0, 2.377948, 0, 10226, 0
PCS1900, 15, 0, 0.1766668, 0, 10226, 0
